episode_id,task_id,length,pass_event,exit_event
repair_episode_v3_0151000a29816dd47077fa0188b62fdf04689addc84c1f749fc42ee2c7d890e8,ex_3_1_2,1,1,0
repair_episode_v3_023e433094f5972ac40d3af7e3450716e1636ae7fdded3e9699aff82201b1ad8,thm_9_5,5,0,1
repair_episode_v3_03f41314766415ed36225ee25eabe01d3ec53ccb91030a4845798bfcb3c8bfda,ex_14_4_2,4,1,0
repair_episode_v3_04e3604f0f8afc07946498f87d2b48066c034cf8d10328eb0a8b57efc216b22e,prob_2_4,1,1,0
repair_episode_v3_0525cc6a0d850779aca890cae88b95d4409add104b9fdbbd845c471f8adb6af5,prob_9_5,2,1,0
repair_episode_v3_0589eac1bc490c79aba4738dc588ea6b8d3d186e81c2bf4c514c25eed0429ba2,thm_9_7,1,0,1
repair_episode_v3_0734009c19aa48293977c4dcd959fc754726921a9251f5f27b40f7f5ed91b526,thm_9_7,1,1,0
repair_episode_v3_0846f6a0f5f2181a5b1e7e1ce8f2e5a8ce2cf5ea164f036633d304a2e0a26f2c,def_10_5,1,1,0
repair_episode_v3_090dc813b3c3272bc92d84c9f1ee5889dd8c6e8611789a68a202e3e90b2abbe8,prob_1_3,1,1,0
repair_episode_v3_0d6bf2e82eeed8a27bd13b7539b42e27f86406006b194b274cb1a1eb19ddbe05,prob_14_10,2,1,0
repair_episode_v3_0da3eeac315006081dcc5c9b2cbaf3b38e9386edbdb2c217d9acf1acaac40895,def_3_6,1,1,0
repair_episode_v3_0e1ef1573ac221bf704fcee0bd99ad25f2dfc26e472999ba198ad0a0d2738e26,ex_1_3_1,1,1,0
repair_episode_v3_0e518da08d2b7340fc8dfbc5096749e28cf5e3f32b301e603eed895e00b028d0,ex_1_2_1,1,1,0
repair_episode_v3_0f7ce7e82f5aefb71a90222b116c5384a8cf9110234f87f43fd664688d327c7e,thm_4_8,1,1,0
repair_episode_v3_120ed29a3170b6465edd8fe0f2eec7d500fadf552a47d8dac21d28350c2c69e7,thm_6_1,2,1,0
repair_episode_v3_13c5bcca78445432355f1c8c2424669448606b33919a7d67ef9957728a29b752,ex_4_4_3,1,1,0
repair_episode_v3_150cbd16843ec05f7f72ddf6fd7252d36cbd792ec1cbefd7bb733447bfcd6108,thm_13_3,1,1,0
repair_episode_v3_154f6301ae4873ded189c3d02b800f21723ac7871da6f51c3e420285728e607f,thm_6_6,1,1,0
repair_episode_v3_16a1f180e75bfdc8c411ab980c97546386ae9d81cfeafd43b0a6c68a94fe569a,thm_13_13,1,1,0
repair_episode_v3_1780597a6f42c06f1c7e6b6503a49249f06fde76e34594755db39fd39cfb2616,thm_14_5,5,1,0
repair_episode_v3_17c6b079344efa0b18c41980e8c99787af0defdfb576adf4cd537107a9fb3d15,thm_1_1,1,1,0
repair_episode_v3_1a12e44934d04b27c72bd246bb573a86224188e75d414e7e41474eda275ec5cd,ex_6_3_1,1,1,0
repair_episode_v3_1daeaa8c28e5dce9aba51221d34e999ca0450d2ae4b05d85a7c4be285b0f70a0,prob_7_3,1,1,0
repair_episode_v3_1fd7ebcf217d800393f0cfd1f2cbb02ef10b6ba49806ef08e530880113e7ab5b,prob_3_3,1,1,0
repair_episode_v3_203617b66377704e7e9f4cce206132d19c3ff2f621bd79d7826f8e7eae3ec2eb,thm_3_3,1,0,1
repair_episode_v3_206af17da169f96ca836514ee8bdeeb6a3b2e2fc645200f5b9f0b5bce7110717,thm_14_4,1,1,0
repair_episode_v3_20a23c26b4827f0fea9be99ec33571db9294c58f0095231ce0b60a22b56b7fad,thm_6_4,1,1,0
repair_episode_v3_20c245fc4c8559eb829d8d4ddf103c02b88746dd2a495cee863a5c93eeccccf4,def_6_1,1,1,0
repair_episode_v3_213a7010411ea577960c22a5c200448d495bc6dee91978e49102fd1d5c2fddd2,ex_2_1_1,1,1,0
repair_episode_v3_213bed74e4492e38fd95b63b19fcdef873b1053417e0cb722b0960c0d8615379,prob_5_7,1,1,0
repair_episode_v3_217060b29c9e114f18c7cd702017613f4f3889de5290c0e79e92f9c051b6ac05,prob_10_3,1,1,0
repair_episode_v3_2229f5e7312eb54fbf107c5466faec96946f3af1cf69d2921f668c7ea23ff0c6,prob_6_9,1,1,0
repair_episode_v3_229a047f0f44e301e6d18894722bab6273c3caabc497f0881960a3764559be52,ex_7_3_2,1,1,0
repair_episode_v3_239ff1ce73ab6129bf73abb6c0fcf2721e8f8bcb6277a1e08e9d2c678f812a09,prob_11_10,1,1,0
