attempt_index,at_risk,recorded_pass_events,chain_exit_events,next_step_at_risk,conditional_recorded_pass_rate,cumulative_within_chain_pass,cumulative_chain_exit,still_active_fraction
1,230,167,18,45,0.7260869565217392,0.7260869565217392,0.0782608695652174,0.1956521739130435
2,45,29,4,12,0.6444444444444445,0.8521739130434782,0.09565217391304348,0.05217391304347826
3,12,1,0,11,0.08333333333333333,0.8565217391304348,0.09565217391304348,0.04782608695652174
4,11,5,0,6,0.45454545454545453,0.8782608695652174,0.09565217391304348,0.02608695652173913
5,6,2,1,3,0.3333333333333333,0.8869565217391304,0.1,0.013043478260869565
6,3,0,0,3,0.0,0.8869565217391304,0.1,0.013043478260869565
7,3,0,0,3,0.0,0.8869565217391304,0.1,0.013043478260869565
8,3,0,0,3,0.0,0.8869565217391304,0.1,0.013043478260869565
9,3,0,0,3,0.0,0.8869565217391304,0.1,0.013043478260869565
10,3,0,0,3,0.0,0.8869565217391304,0.1,0.013043478260869565
11,3,1,0,2,0.3333333333333333,0.8913043478260869,0.1,0.008695652173913044
12,2,1,0,1,0.5,0.8956521739130435,0.1,0.004347826086956522
13,1,0,0,1,0.0,0.8956521739130435,0.1,0.004347826086956522
14,1,0,0,1,0.0,0.8956521739130435,0.1,0.004347826086956522
15,1,0,0,1,0.0,0.8956521739130435,0.1,0.004347826086956522
16,1,0,0,1,0.0,0.8956521739130435,0.1,0.004347826086956522
17,1,0,1,0,0.0,0.8956521739130435,0.10434782608695652,0.0
