transition_role_summary_id,transition_role,transition_role_confidence,transition_n,fraction_of_directional,interpretation_boundary
transition_role_summary_v3_0390afaa1b1d782afd90b5348085e20a4bb16b03d9c0ea02c0f990bddf39bcf4,unknown_mixed,medium,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_0e6ba80f1508513c82849c10317823ab54d2bd5ae3d190b7fe188ec3f3abb9c1,unknown_mixed,high,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_24339fcaf6697a0caaa1ef269221dad727430b10fc2face4efac32248fc1d0e4,official_rereview,high,886,0.334972,"classification count; not utility, quality, or success"
transition_role_summary_v3_2d4cfdb044c763963447b8fc593624221fb8810443432dae52dc3623a9875691,same_condition_stability,high,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_39b721ddb297e38f38593dc9a4f8bc2e60816474dc201c507acf20fd2997c85f,external_review,low,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_3c6031e3a745726bd71af7a55c429fe7f76c41424d4b3154c75e6634d07de3b6,same_review_representation,medium,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_50e0e810a99d178c9e6a84ee8f1f1a366d06b285d15bec3dfa8ec66b034e2060,candidate_landing,low,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_5978229a6d5d52899fc03e2a86c288f536fa3cac1310a142f801cef31e8714e2,unknown_mixed,low,390,0.147448,"classification count; not utility, quality, or success"
transition_role_summary_v3_697dea6b0dcf831f067125cf9b299ed906f8045dd99a9b6321bf9576c0634463,candidate_repair,medium,98,0.037051,"classification count; not utility, quality, or success"
transition_role_summary_v3_6c66e9d7b21272bf10dd4eece4b411e9014f54342518f930e11eac71af8e1526,same_condition_stability,medium,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_7347af54a35fd05be4ed729455d53931e060b5cf8c90582f7033109f876418b1,candidate_repair,high,367,0.138752,"classification count; not utility, quality, or success"
transition_role_summary_v3_81729332ba770edabf2f3bb02d73a9096967b2e7159926f44f5eb0a0321d3e3b,official_rereview,medium,290,0.109641,"classification count; not utility, quality, or success"
transition_role_summary_v3_8d4cff0b229a6a3aa871b46104663796e123ba9b1aec7d933483d16ded191061,same_condition_stability,low,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_943cd3dc34203306186762b53c9d1ff5467bd0c83b4c8a9926d0ad9f374b1bf6,same_review_representation,high,166,0.06276,"classification count; not utility, quality, or success"
transition_role_summary_v3_a31e3337071a9256d775c718b6fea2d7e5b7f69999a33a70ac415f65b16bb721,candidate_landing,medium,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_a7ec1c9ffeca98ee81f9f267fb799a866bcb58edee4cd64d77c2718e8aca813a,same_review_representation,low,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_c0667d6367aa4200a58a4cc987080fe74a66f3fd0ef1e33bdcb825eb9d9564f2,external_review,high,161,0.06087,"classification count; not utility, quality, or success"
transition_role_summary_v3_d67a9cb49eb3fbd9cc64822a695dd0881508f2fa93036cc2703d94acd8147d6d,candidate_landing,high,241,0.091115,"classification count; not utility, quality, or success"
transition_role_summary_v3_d8799f954a478c3f62af188b94fbaa94acdd184c60fe5d6bfaaa0dbed2713091,candidate_repair,low,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_df772b5ec7144ef28fff2c9878f5c0618ec39038aa2a90b5a84da98eea38e33b,official_rereview,low,0,0.0,"classification count; not utility, quality, or success"
transition_role_summary_v3_f9f0d6298fa950e32bd3865cc079f6bc41994287180e85f6333f7f9211995cf5,external_review,medium,46,0.017391,"classification count; not utility, quality, or success"
